Date : 2021-01-12 23:00:47
Directory : /home/dhem/deom_git/HASSIM/src
Total : 143 files,  15098 codes, 1461 comments, 2632 blanks, all 19191 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C++        |        137 |     15,080 |      1,461 |      2,626 |     19,167 |
| Django txt |          6 |         18 |          0 |          6 |         24 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                   |        143 |     15,098 |      1,461 |      2,632 |     19,191 |
| apps                                                                |         70 |      5,268 |        691 |        932 |      6,891 |
| apps/bak                                                            |          1 |         57 |          9 |         10 |         76 |
| bdeom                                                               |         13 |      1,901 |        134 |        367 |      2,402 |
| blockdeom                                                           |         14 |      2,150 |        168 |        376 |      2,694 |
| blockdeom/bak                                                       |          1 |        274 |         38 |         12 |        324 |
| blockdeom2                                                          |          7 |        983 |         72 |        153 |      1,208 |
| codde                                                               |          5 |        646 |         35 |        100 |        781 |
| deom                                                                |         22 |      3,090 |        279 |        546 |      3,915 |
| deom/bak                                                            |          2 |        312 |         10 |         71 |        393 |
